DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1991,94.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1992,95.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1993,93.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1994,93.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1995,94.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1996,94.00,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1997,95.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1998,96.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,HU,1999,96.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1960,3.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1961,3.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1962,3.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1963,3.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1964,3.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1965,3.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1966,2.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1967,2.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1968,2.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1969,2.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1970,2.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1971,2.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1972,2.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1973,2.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1974,2.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1975,1.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1976,1.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1977,1.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1978,1.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1979,1.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1980,1.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1981,1.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1982,1.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1983,1.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,F0000,AR,IE,1984,1.30,
